dataset,backend,N,seed,attack,policy,FAR,coverage,acc,bytes_per_claim
nslkdd,ML-DSA-65,128,0,A1_replay,raw,1.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A1_replay,semantic,0.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A1_replay,signed,1.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A1_replay,pcsp,0.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A2_model_sub,raw,1.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A2_model_sub,semantic,1.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A2_model_sub,signed,0.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A2_model_sub,pcsp,0.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A3_evidence_mismatch,raw,1.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A3_evidence_mismatch,semantic,1.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A3_evidence_mismatch,signed,0.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A3_evidence_mismatch,pcsp,0.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A4_stale_context,raw,1.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A4_stale_context,semantic,0.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A4_stale_context,signed,0.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,0,A4_stale_context,pcsp,0.0,0.9934,0.7697,69.46
nslkdd,ML-DSA-65,128,1,A1_replay,raw,1.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A1_replay,semantic,0.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A1_replay,signed,1.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A1_replay,pcsp,0.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A2_model_sub,raw,1.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A2_model_sub,semantic,1.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A2_model_sub,signed,0.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A2_model_sub,pcsp,0.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A3_evidence_mismatch,raw,1.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A3_evidence_mismatch,semantic,1.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A3_evidence_mismatch,signed,0.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A3_evidence_mismatch,pcsp,0.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A4_stale_context,raw,1.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A4_stale_context,semantic,0.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A4_stale_context,signed,0.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,1,A4_stale_context,pcsp,0.0,0.9985,0.7698,69.52
nslkdd,ML-DSA-65,128,2,A1_replay,raw,1.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A1_replay,semantic,0.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A1_replay,signed,1.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A1_replay,pcsp,0.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A2_model_sub,raw,1.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A2_model_sub,semantic,1.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A2_model_sub,signed,0.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A2_model_sub,pcsp,0.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A3_evidence_mismatch,raw,1.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A3_evidence_mismatch,semantic,1.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A3_evidence_mismatch,signed,0.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A3_evidence_mismatch,pcsp,0.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A4_stale_context,raw,1.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A4_stale_context,semantic,0.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A4_stale_context,signed,0.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,2,A4_stale_context,pcsp,0.0,0.9965,0.7698,69.49
nslkdd,ML-DSA-65,128,3,A1_replay,raw,1.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A1_replay,semantic,0.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A1_replay,signed,1.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A1_replay,pcsp,0.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A2_model_sub,raw,1.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A2_model_sub,semantic,1.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A2_model_sub,signed,0.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A2_model_sub,pcsp,0.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A3_evidence_mismatch,raw,1.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A3_evidence_mismatch,semantic,1.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A3_evidence_mismatch,signed,0.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A3_evidence_mismatch,pcsp,0.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A4_stale_context,raw,1.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A4_stale_context,semantic,0.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A4_stale_context,signed,0.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,3,A4_stale_context,pcsp,0.0,0.9997,0.7739,69.68
nslkdd,ML-DSA-65,128,4,A1_replay,raw,1.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A1_replay,semantic,0.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A1_replay,signed,1.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A1_replay,pcsp,0.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A2_model_sub,raw,1.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A2_model_sub,semantic,1.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A2_model_sub,signed,0.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A2_model_sub,pcsp,0.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A3_evidence_mismatch,raw,1.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A3_evidence_mismatch,semantic,1.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A3_evidence_mismatch,signed,0.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A3_evidence_mismatch,pcsp,0.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A4_stale_context,raw,1.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A4_stale_context,semantic,0.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A4_stale_context,signed,0.0,0.9986,0.7666,69.52
nslkdd,ML-DSA-65,128,4,A4_stale_context,pcsp,0.0,0.9986,0.7666,69.52
cicids,ML-DSA-65,128,0,A1_replay,raw,1.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A1_replay,semantic,0.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A1_replay,signed,1.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A1_replay,pcsp,0.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A2_model_sub,raw,1.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A2_model_sub,semantic,1.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A2_model_sub,signed,0.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A2_model_sub,pcsp,0.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A3_evidence_mismatch,raw,1.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A3_evidence_mismatch,semantic,1.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A3_evidence_mismatch,signed,0.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A3_evidence_mismatch,pcsp,0.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A4_stale_context,raw,1.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A4_stale_context,semantic,0.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A4_stale_context,signed,0.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,0,A4_stale_context,pcsp,0.0,1.0,0.9987,70.09
cicids,ML-DSA-65,128,1,A1_replay,raw,1.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A1_replay,semantic,0.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A1_replay,signed,1.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A1_replay,pcsp,0.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A2_model_sub,raw,1.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A2_model_sub,semantic,1.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A2_model_sub,signed,0.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A2_model_sub,pcsp,0.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A3_evidence_mismatch,raw,1.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A3_evidence_mismatch,semantic,1.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A3_evidence_mismatch,signed,0.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A3_evidence_mismatch,pcsp,0.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A4_stale_context,raw,1.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A4_stale_context,semantic,0.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A4_stale_context,signed,0.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,1,A4_stale_context,pcsp,0.0,1.0,0.9988,70.48
cicids,ML-DSA-65,128,2,A1_replay,raw,1.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A1_replay,semantic,0.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A1_replay,signed,1.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A1_replay,pcsp,0.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A2_model_sub,raw,1.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A2_model_sub,semantic,1.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A2_model_sub,signed,0.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A2_model_sub,pcsp,0.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A3_evidence_mismatch,raw,1.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A3_evidence_mismatch,semantic,1.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A3_evidence_mismatch,signed,0.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A3_evidence_mismatch,pcsp,0.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A4_stale_context,raw,1.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A4_stale_context,semantic,0.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A4_stale_context,signed,0.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,2,A4_stale_context,pcsp,0.0,1.0,0.999,70.85
cicids,ML-DSA-65,128,3,A1_replay,raw,1.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A1_replay,semantic,0.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A1_replay,signed,1.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A1_replay,pcsp,0.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A2_model_sub,raw,1.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A2_model_sub,semantic,1.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A2_model_sub,signed,0.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A2_model_sub,pcsp,0.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A3_evidence_mismatch,raw,1.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A3_evidence_mismatch,semantic,1.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A3_evidence_mismatch,signed,0.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A3_evidence_mismatch,pcsp,0.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A4_stale_context,raw,1.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A4_stale_context,semantic,0.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A4_stale_context,signed,0.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,3,A4_stale_context,pcsp,0.0,1.0,0.9989,70.01
cicids,ML-DSA-65,128,4,A1_replay,raw,1.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A1_replay,semantic,0.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A1_replay,signed,1.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A1_replay,pcsp,0.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A2_model_sub,raw,1.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A2_model_sub,semantic,1.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A2_model_sub,signed,0.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A2_model_sub,pcsp,0.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A3_evidence_mismatch,raw,1.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A3_evidence_mismatch,semantic,1.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A3_evidence_mismatch,signed,0.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A3_evidence_mismatch,pcsp,0.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A4_stale_context,raw,1.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A4_stale_context,semantic,0.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A4_stale_context,signed,0.0,1.0,0.9987,70.57
cicids,ML-DSA-65,128,4,A4_stale_context,pcsp,0.0,1.0,0.9987,70.57
